photo_id,tags,geolocation,date_taken,date_posted,views,locale,county,region,url
9432234412,"[u'National Park', u'North America', u'Shenandoah National Park', u'USA', u'Virginia', u'park', u'Hazeltop Ridge Overlook', u'Page County', u'sunset', u'Blue Ridge Mountains', u'Appalachian Highlands', u'tree', u'mountains', u'sun', u'scoreme31']","[38.478382, -78.456373]",8/2/13 19:24,1390973220,134,"[u'Big Meadows', u'0DpuVBpTUbxXTtE6']","[u'Madison', u'sB.FAV9QUL_aHzORYw']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm4.staticflickr.com/3776/9432234412_3983df95a1_o.jpg
9466098619,"[u'Mirrorgram', u'oggl', u'hipstamatic', u'fence', u'mirror', u'silhouette', u'ogdenpoint', u'jamesbay', u'jamesbaybreakwater', u'Lucas AB2 Lens', u""Ina's 1982 Film""]","[48.415, -123.385]",8/8/13 21:15,1390778642,941,"[u'Victoria', u'sSyk2MlYWr4L']","[u'Capital', u'r_AywM1TW7lu1BecGA']","[u'British Columbia', u'VjS6xONTUb6pGKV0']",http://farm4.staticflickr.com/3789/9466098619_9228328cb8_o.jpg
9479004080,"[u'Maywood', u'North America', u'USA', u'Virginia', u'breakfast', u'food', u'Arlington']","[38.897721, -77.103295]",8/10/13 7:24,1391591400,105,"[u'Arlington', u'CtA5vEFTUb9wUP9D']","[u'Arlington', u'xg6x9TpQUL9VVdrKig']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm3.staticflickr.com/2857/9479004080_daca253ef5_o.jpg
9495637084,"[u'Arlington', u'Arlington County Fair', u'North America', u'USA', u'Virginia']","[38.87042, -77.094283]",8/11/13 20:38,1391673420,114,"[u'Arlington', u'CtA5vEFTUb9wUP9D']","[u'Arlington', u'xg6x9TpQUL9VVdrKig']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm8.staticflickr.com/7333/9495637084_5fc266dc17_o.jpg
9495639950,"[u'Arlington', u'Arlington County Fair', u'North America', u'USA', u'Virginia']","[38.87042, -77.094283]",8/11/13 20:05,1391673360,86,"[u'Arlington', u'CtA5vEFTUb9wUP9D']","[u'Arlington', u'xg6x9TpQUL9VVdrKig']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm8.staticflickr.com/7393/9495639950_7c5f87e19e_o.jpg
9500396369,"[u'Arlington', u'Chicken Quesadillas', u'Maywood', u'North America', u'USA', u'Virginia', u'cooking']","[38.897295, -77.103295]",8/13/13 8:02,1390973160,110,"[u'Arlington', u'CtA5vEFTUb9wUP9D']","[u'Arlington', u'xg6x9TpQUL9VVdrKig']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm3.staticflickr.com/2883/9500396369_1b060a53fc_o.jpg
9500751176,"[u'sunset', u'sun', u'evening', u'field', u'golden', u'crop']","[33.207736, -96.767706]",8/12/13 20:09,1390628504,249,"[u'Frisco', u'eX0rintTVro_zPp1']","[u'Collin', u'FkequphQUL.ppvHOtQ']","[u'Texas', u'EMo2gYtTUb7oiO66']",http://www.flickr.com/photos/navsarius/9500751176/
9503205020,"[u'Arlington', u'Chicken Quesadillas', u'Maywood', u'North America', u'USA', u'Virginia', u'cooking']","[38.897295, -77.103295]",8/13/13 7:41,1391161560,79,"[u'Arlington', u'CtA5vEFTUb9wUP9D']","[u'Arlington', u'xg6x9TpQUL9VVdrKig']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm4.staticflickr.com/3683/9503205020_086e7337b4_o.jpg
9532201127,"[u'Arlington', u'Maywood', u'North America', u'USA', u'Virginia', u'chicken', u'cooking', u'fettuccine', u'marsala', u'mustard', u'mascarpone']","[38.897295, -77.103295]",8/17/13 16:39,1390888680,148,"[u'Arlington', u'CtA5vEFTUb9wUP9D']","[u'Arlington', u'xg6x9TpQUL9VVdrKig']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm6.staticflickr.com/5523/9532201127_6e97432b3c_o.jpg
9532205899,"[u'Arlington', u'Maywood', u'North America', u'USA', u'Virginia', u'chicken', u'cooking', u'fettuccine', u'marsala', u'mustard', u'mascarpone']","[38.897295, -77.103295]",8/17/13 16:41,1391080260,151,"[u'Arlington', u'CtA5vEFTUb9wUP9D']","[u'Arlington', u'xg6x9TpQUL9VVdrKig']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm4.staticflickr.com/3757/9532205899_b69fe1f98c_o.jpg
