photo_id,tags,geolocation,date_taken,date_posted,views,locale,county,region,url
8451398916,"[u'Searsholding', u'winter', u'josephcerulli']","[42.077489, -88.21515]",2/6/13 12:58,1388577000,189,"[u'Barrington Hills', u'Mho8D01TUb9.nq0V']","[u'Cook', u'O2QpKXJQUL_LHzYxYQ']","[u'Illinois', u'BQEHmddTUb5GBtTz']",http://farm9.staticflickr.com/8529/8451398916_e9346b50a7_o.jpg
8458316185,"[u'La Grange', u'Lewis County', u'Missouri', u'old', u'highway', u'route', u'US 61', u'bridge', u'Wyaconda River', u'Route B', u'Parker', u'through', u'truss', u'my bridge', u'traveled this road as a child', u'Highway 61 Revisited']","[40.058858, -91.498775]",2/6/13 9:57,1392065041,631,"[u'La Grange', u'HHQlDs9TVrly_Fx1']","[u'Lewis', u'wHbQQ2tQUL9i.1NcCQ']","[u'Missouri', u'rLGx4JpTUb6lauZn']",http://www.flickr.com/photos/34086110@N06/8458316185/
8458356647,"[u'michigan', u'kc jacoby photography llc', u'kc jacoby photography', u'leelanau', u'wineries', u'taste the passion 2013', u'wine', u'Forty-Five North Winery', u'Forty-Five North', u'45th parallel', u'dogs', u'8580 E. Horn Road', u'Lake Leelanau', u'www.fortyfivenorth.com']","[45.004227, -85.686632]",2/2/13 12:51,1390423238,368,"[u'Suttons Bay', u'psbui7lTV7qZ53fz']","[u'Leelanau', u'Nof3mgBQUL9BcnZe0g']","[u'Michigan', u'XrEivL1TUb46TSNK']",http://www.flickr.com/photos/kcjacoby/8458356647/
8458556480,"[u'Gerbera', u'Daisy', u'Flower', u'Flora', u'water droplets', u'pink', u'petals', u'macro', u'Close up', u'Flores', u'florescent', u'black background', u'1001 Nights', u'blinkagain', u'my_gear_and_me', u'my_gear_and_me_premium', u'VIGILANT PHOTOGRAPHERS UNITE', u'VPU2', u'VPU3', u'VPU4', u'VPU5', u'VPU6', u'VPU7', u'Remember That Moment Level 1', u'vpu8', u'Flickrs Finest Images_1', u'vpu9', u'Flickrs Finest Images_2', u'greatphotographers', u'vpu10']","[41.52917, -73.897918]",2/8/13 15:36,1390223261,4765,"[u'Beacon', u'KYZRyd1TUbzsRa6B']","[u'Dutchess', u'drVM5xJQUL.2x4g.mA']","[u'New York', u'ODHTuIhTUb75gdBu']",http://farm9.staticflickr.com/8104/8458556480_27ac3f3cb6_o.jpg
8458817217,"[u'La Grange', u'Lewis County', u'Missouri', u'CB&Q', u'railroad', u'bridge', u'BNSF', u'Hannibal Subdivision', u'K Line']","[40.059367, -91.497917]",2/6/13 10:03,1392065039,490,"[u'La Grange', u'HHQlDs9TVrly_Fx1']","[u'Lewis', u'wHbQQ2tQUL9i.1NcCQ']","[u'Missouri', u'rLGx4JpTUb6lauZn']",http://www.flickr.com/photos/34086110@N06/8458817217/
8458900889,"[u'La Grange', u'Lewis County', u'Missouri', u'old', u'highway', u'route', u'US 61', u'bridge', u'Wyaconda River', u'Route B', u'Parker', u'through', u'truss', u'my bridge', u'traveled this road as a child', u'Highway 61 Revisited']","[40.058952, -91.498796]",2/6/13 9:59,1392065040,584,"[u'La Grange', u'HHQlDs9TVrly_Fx1']","[u'Lewis', u'wHbQQ2tQUL9i.1NcCQ']","[u'Missouri', u'rLGx4JpTUb6lauZn']",http://www.flickr.com/photos/34086110@N06/8458900889/
8460077920,"[u'national register of historic places', u'house', u'Smyth County', u'Virginia', u'fence']","[36.795264, -81.681075]",2/9/13 11:40,1390562046,467,"[u'Chilhowie', u'wpNS1C9TUb0Srvau']","[u'Smyth', u'txSvlv1QUL_3_hA6yw']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://www.flickr.com/photos/bluebird218/8460077920/
8466959569,"[u'roses', u'rosa', u'flores', u'flowers', u'flora', u'floral', u'petals', u'colorful', u'MimamorFlowers', u'my_gear_and_me', u'TheGALAXY', u'VIGILANT PHOTOGRAPHERS UNITE', u'my_gear_and_me_premium', u'COTH', u'COTH5', u'my_gear_and_me_bronze']","[41.527391, -73.897304]",2/9/13 14:44,1388482749,1784,"[u'Beacon', u'KYZRyd1TUbzsRa6B']","[u'Dutchess', u'drVM5xJQUL.2x4g.mA']","[u'New York', u'ODHTuIhTUb75gdBu']",http://farm9.staticflickr.com/8528/8466959569_44a292ca17_o.jpg
8473153720,"[u'24th street stop', u'bart', u'subway', u'station', u'mission district', u'San Francisco', u'California', u'ca', u'to all trains', u'the next big thing?', u'pedestrians', u'riders', u'street photography', u'black and white', u'B&W', u'sony rx1']","[37.752292, -122.418465]",2/13/13 17:40,1390228561,4971,"[u'San Francisco', u'7.MJR8tTVrIO1EgB']","[u'San Francisco', u'.7sOmlRQUL9nK.kMzA']","[u'California', u'NsbUWfBTUb4mbyVu']",http://farm9.staticflickr.com/8378/8473153720_743761cdd8_o.jpg
8474708482,"[u'bodie island lighthouse', u'bodie', u'island', u'nc', u'north carolina', u'lighthouse', u'cape hatteras', u'obx', u'outer banks', u'nags head', u'national', u'east coast', u'lighthouses', u'sunrise', u'dawn', u'carolina', u'dave allen', u'nikon', u'D700', u'cape', u'hatteras', u'national park', u'landmark', u'sunset', u'landscape', u'vertical', u'striped', u'pink', u'red', u'purple', u'beacon', u'outer', u'ocean', u'atlantic', u'atlantic coast', u'eastern nc', u'vacation', u'beach', u'carolinas', u'coastal', u'coast', u'colorful', u'dramaticsky', u'gorgeous', u'beautiful', u'paradise', u'photography', u'scenic', u'sky', u'travel', u'my_gear_and_me_platinum', u'my_gear_and_me_diamond']","[35.818282, -75.563836]",2/14/13 16:16,1389285586,6688,,,"[u'North Carolina', u'3Xw_xEBTUb5puUMm']",http://www.flickr.com/photos/werksmedia/8474708482/
