photo_id,tags,geolocation,date_taken,date_posted,views,locale,county,region,url
5186695690,"[u'SANYO DIGITAL', u'GATLINBURG', u'TENNESSEE', u'SMOKEY MOUNTAINS', u'US 321', u'UNCLE HENRY ROAD', u'HEADRICK CHAPEL']","[35.700156, -83.679589]",1/1/13 23:40,1290061891,259,"[u'Line Spring', u'XGiII4tTVrm89RWx']","[u'Sevier', u'rhJP_0lQUL_y8OWbEA']","[u'Tennessee', u'PgNbvuhTUb5yTgXh']",http://farm5.staticflickr.com/4110/5186695690_6c9a196583_o.jpg
8331592035,"[u'instagram app', u'square', u'square format', u'iphoneography', u'Valencia']","[33.941768, -118.404332]",1/1/13 14:15,1357017313,17,"[u'Los Angeles', u'7Z5HMmpTVr4VzDpD']","[u'Los Angeles', u'.D8LiGdQUL_LN4aBcw']","[u'California', u'NsbUWfBTUb4mbyVu']",http://www.flickr.com/photos/kotaroyokoyama/8331592035/
8332595343,"[u'2013', u'nouvelle', u'ann\xe9e', u'new', u'year', u'sun', u'rise', u'lever', u'soleil']","[48.126419, -77.777431]",1/1/13 8:23,1357047690,68,"[u""Val-d'or"", u'ypUWhr1SUL0d']","[u""La Vall\xe9e-de-l'or"", u'WHVB8EdTW7kApfTU9w']","[u'Quebec', u'dSpA1ldTUb7syPFr']",http://farm9.staticflickr.com/8502/8332595343_d98a881951_o.jpg
8332670778,"[u'instagram app', u'square', u'square format', u'iphoneography', u'Valencia']","[33.943893, -118.405022]",1/1/13 14:26,1357017968,23,"[u'Los Angeles', u'7Z5HMmpTVr4VzDpD']","[u'Los Angeles', u'.D8LiGdQUL_LN4aBcw']","[u'California', u'NsbUWfBTUb4mbyVu']",http://www.flickr.com/photos/kotaroyokoyama/8332670778/
8332957637,"[u'JasonMichael', u'JasonXMichael', u'JasonXavierMichael', u'www.JasonXMichael.com', u'First Coffee of 2013', u'Jamaican Blue Mountain', u'Jamaican', u'Blue', u'Mountain', u'Bodum', u'Gibbon', u'Calendar', u'Chinese Calendar', u'Photo', u'Image', u'Charlotte', u'Nikon', u'Nikon V1', u'Nikkor', u'10-30mm', u'Speedlight', u'SB-N5', u'Manfrotto', u'Manfrotto Tripod']","[44.239326, -76.498854]",1/1/13 10:29,1357054744,317,"[u'Kingston', u'kUzqwRpVU76B']","[u'Frontenac', u'mEQI0OdTW7mwNPmkfA']","[u'Ontario', u'KAOZv3VTUb6vc1Fc']",http://farm9.staticflickr.com/8221/8332957637_428539353a_o.jpg
8332961969,"[u'Hipstamatic', u'GSQUAD Lens', u""Ina's 1982 Film"", u'No Flash', u'mia', u'365']","[39.680553, -86.142344]",1/1/13 10:34,1357054812,14,"[u'Indianapolis', u'C3JqaQxTVrgNMRwd']","[u'Marion', u's46_pO9QUL8Nt1n3Og']","[u'Indiana', u'lgk6gvRTUb55c27h']",http://www.flickr.com/photos/tf-oto/8332961969/
8333040989,"[u'instagram app', u'square', u'square format', u'iphoneography', u'dogs', u'dog', u'pets', u'terrier', u'brussels greffon', u'black dog', u'blonde dog', u'funny dogs', u'schipperke', u'dog photography', u'animals', u'love']","[44.6655, -93.626499]",1/1/13 10:03,1357056211,46,"[u'Jordan', u'JRd4LWZTVrg.7yUR']","[u'Scott', u'FQ3r2pVQUL.vdPVT0A']","[u'Minnesota', u'nQHRI5hTUb6BzMQh']",http://www.flickr.com/photos/cre8tivegang/8333040989/
8333049681,"[u'365: the 2013 edition', u'365:2013', u'Day 1/365', u'Day 1', u'01-Jan-13', u'Portrait', u'Selfie', u'bokeh', u'Bokehlicious']","[38.946289, -77.078735]",1/1/13 8:54,1357056423,494,"[u'Washington', u'aKGrC25TV7vTJcir']","[u'District of Columbia', u'r7KcVlZQUL8J2lfjCQ']","[u'District of Columbia', u'.9.rXhhTUb5eYUuK']",http://www.flickr.com/photos/robertdennisphoto/8333049681/
8333118979,"[u'Iron Sky', u'Finland', u'mail', u'postage', u'envelope', u'tear', u'damage']","[38.978008, -76.500271]",1/1/13 11:21,1357057477,149,"[u'Annapolis', u'D_qoKHRTUb8y89up']","[u'Anne Arundel', u'ONWZ_5tQUL.hENDykA']","[u'Maryland', u'hcB5icNTUb4v8pAc']",http://farm9.staticflickr.com/8351/8333118979_2dcfa6bf97_o.jpg
8333157227,"[u'Pork', u'Roast', u'Walnut', u'Cranbury', u'Apricot', u'Stuffed', u'Smoked', u'Bourbon', u'Pepper', u'Encrusted', u'New', u'Years', u'Tradition', u'Meal', u'Food']","[32.897166, -97.283334]",1/1/13 10:22,1357058169,215,"[u'Keller', u'XdsJFN5TVrmXZd0N']","[u'Tarrant', u'JcMuKXJQUL90h1J8xQ']","[u'Texas', u'EMo2gYtTUb7oiO66']",http://www.flickr.com/photos/traveller2020/8333157227/
