photo_id,tags,geolocation,date_taken,date_posted,views,locale,county,region,url
10911290794,"[u'autumn', u'fall', u'leaves']","[48.414833, -123.345167]",11/17/13 11:10,1391612655,643,"[u'Victoria', u'sSyk2MlYWr4L']","[u'Capital', u'r_AywM1TW7lu1BecGA']","[u'British Columbia', u'VjS6xONTUb6pGKV0']",http://farm4.staticflickr.com/3742/10911290794_8cffa1e31c_o.jpg
12080623293,"[u'2013', u'Coast', u'Ji-Taek Park', u'K-Rock Design', u'Long Beach', u'Trail', u'Grass', u'Trees', u'Colour', u'Color', u'Path', u'Walkway', u'winding', u'DOF']","[46.298915, -124.077411]",11/9/13 15:34,1391360400,81,"[u'Ilwaco', u'DkM7ehdTVriegCif']","[u'Pacific', u'L8yNYLxQUL.kBFlaSA']","[u'Washington', u'jyADg3RTUb65Hnbj']",http://www.flickr.com/photos/k_rock_design/12080623293/
12080696604,"[u'2013', u'Coast', u'Ji-Taek Park', u'K-Rock Design', u'Long Beach', u'Grey Whale Skeleton', u'Whale', u'Skeleton', u'Sky', u'Grass', u'Ocean', u'Pacific', u'Colour', u'Color', u'Cloud', u'night', u'storm']","[46.34686, -124.063282]",11/10/13 18:05,1391619600,109,"[u'Long Beach', u'RnghOQBTVr4vc_Oi']","[u'Pacific', u'L8yNYLxQUL.kBFlaSA']","[u'Washington', u'jyADg3RTUb65Hnbj']",http://www.flickr.com/photos/k_rock_design/12080696604/
12080710444,"[u'2013', u'Coast', u'Ji-Taek Park', u'K-Rock Design', u'Long Beach', u'edge', u'cliff', u'platform', u'person', u'Ocean', u'Pacific', u'Concrete', u'Colour', u'Color']","[46.298656, -124.07769]",11/9/13 15:08,1391446800,73,"[u'Ilwaco', u'DkM7ehdTVriegCif']","[u'Pacific', u'L8yNYLxQUL.kBFlaSA']","[u'Washington', u'jyADg3RTUb65Hnbj']",http://www.flickr.com/photos/k_rock_design/12080710444/
12080955726,"[u'2013', u'Coast', u'Ji-Taek Park', u'K-Rock Design', u'Long Beach', u'waves', u'Birds', u'Wave', u'Sea', u'Pacific', u'Ocean', u'Colour', u'Color']","[46.298181, -124.077283]",11/9/13 15:08,1391533200,101,"[u'Ilwaco', u'DkM7ehdTVriegCif']","[u'Pacific', u'L8yNYLxQUL.kBFlaSA']","[u'Washington', u'jyADg3RTUb65Hnbj']",http://www.flickr.com/photos/k_rock_design/12080955726/
12080958466,"[u'2013', u'Coast', u'Ji-Taek Park', u'K-Rock Design', u'Long Beach', u'photographer', u'photo', u'silhouette', u'Colour', u'Color', u'Lighthouse', u'Hill', u'Grass', u'Path', u'Fence', u'Sky']","[46.297989, -124.076778]",11/9/13 15:04,1391274000,122,"[u'Ilwaco', u'DkM7ehdTVriegCif']","[u'Pacific', u'L8yNYLxQUL.kBFlaSA']","[u'Washington', u'jyADg3RTUb65Hnbj']",http://www.flickr.com/photos/k_rock_design/12080958466/
12244554605,"[u'Vanity Plate', u'Washington DC']","[38.897369, -77.123475]",11/21/13 16:37,1391223262,17,"[u'Arlington', u'CtA5vEFTUb9wUP9D']","[u'Arlington', u'xg6x9TpQUL9VVdrKig']","[u'Virginia', u'pPrhG7VTUb6SbYO.']",http://farm3.staticflickr.com/2872/12244554605_757f455f79_o.jpg
12244728223,"[u'Vanity Plate', u'Washington DC']","[38.942344, -77.062248]",11/1/13 17:05,1391223237,4,"[u'Washington', u'aKGrC25TV7vTJcir']","[u'District of Columbia', u'r7KcVlZQUL8J2lfjCQ']","[u'District of Columbia', u'.9.rXhhTUb5eYUuK']",http://farm8.staticflickr.com/7366/12244728223_4d0a0f6b0e_o.jpg
12244729293,"[u'Vanity Plate', u'Washington DC']","[38.940605, -77.052934]",11/18/13 8:26,1391223245,5,"[u'Washington', u'aKGrC25TV7vTJcir']","[u'District of Columbia', u'r7KcVlZQUL8J2lfjCQ']","[u'District of Columbia', u'.9.rXhhTUb5eYUuK']",http://farm6.staticflickr.com/5495/12244729293_c28a892f06_o.jpg
12244980454,"[u'Vanity Plate', u'Washington DC']","[38.986011, -77.093873]",11/16/13 14:00,1391223243,10,"[u'Bethesda', u'13Zx2zNTUbzsDul_']","[u'Montgomery', u'U7Wt.oRQUL8QGAEqgg']","[u'Maryland', u'hcB5icNTUb4v8pAc']",http://farm8.staticflickr.com/7308/12244980454_34766ab4cf_o.jpg
