photo_id,tags,geolocation,date_taken,date_posted,views,locale,county,region,url
11640075033,"[u'Arkansas', u'Waterfall']","[35.619506, -93.290807]",12/22/13 12:25,1391580480,146,,,"[u'Arkansas', u'kIhBpapTUb5mpVIw']",http://www.flickr.com/photos/cormackphotos/11640075033/
11640212254,"[u'Ozark National Forest', u'Arkansas', u'Waterfall']","[35.619418, -93.290566]",12/22/13 12:43,1391666820,103,,,"[u'Arkansas', u'kIhBpapTUb5mpVIw']",http://www.flickr.com/photos/cormackphotos/11640212254/
11654866123,"[u'Salvador 84 Lens', u'Robusta Film', u'seagull']","[48.40718, -123.36435]",12/30/13 10:53,1391370507,415,"[u'Victoria', u'sSyk2MlYWr4L']","[u'Capital', u'r_AywM1TW7lu1BecGA']","[u'British Columbia', u'VjS6xONTUb6pGKV0']",http://farm8.staticflickr.com/7330/11654866123_bb4f2ff4d9_o.jpg
11961343395,"[u'trees', u'morning', u'sun', u'sunlight', u'rays', u'woods', u'forest', u'life', u'growth', u'nature', u'organic', u'ross prairie state forest', u'marion county', u'florida', u'Canon EOS REBEL T2i', u'Canon EF 50mm f/1.4 USM']","[29.035516, -82.29202]",12/9/13 7:53,1392163680,117,,"[u'Marion', u'JsFrkw9QUL9YLdZbOA']","[u'Florida', u'IPbJb2lTUb4Y7tKw']",http://farm4.staticflickr.com/3697/11961343395_f66965cdbc_o.jpg
11961643683,"[u'sunlight', u'backlit', u'east', u'eastern glow', u'plant', u'woods', u'forest', u'life', u'growth', u'nature', u'organic', u'ross prairie state forest', u'marion county', u'florida', u'Canon EOS REBEL T2i', u'Canon EF 50mm f/1.4 USM']","[29.035966, -82.293726]",12/9/13 7:44,1391312440,52,,"[u'Marion', u'JsFrkw9QUL9YLdZbOA']","[u'Florida', u'IPbJb2lTUb4Y7tKw']",http://farm6.staticflickr.com/5501/11961643683_fbf1828e5f_o.jpg
12152137796,"[u'hiver', u'winter', u'neige', u'snow', u'roche', u'rock', u'chemin', u'road', u'eneig\xe9', u'bois', u'wood', u'forest', u'for\xeat', u'saison', u'season', u'nature', u'landscape', u'bouleau', u'birch', u'landscpae', u'paysage', u'jour', u'day', u'nuageux', u'cloudy', u'noir', u'black', u'blanc', u'white', u'fleuve', u'river']","[47.01422, -70.800876]",12/26/13 11:34,1391685719,2003,"[u""St-Fran\xe7ois-de-l'\xcele-d'Orl\xe9ans"", u'RTfSDExUV7KOW3rZGw']","[u""L'\xeele-D'orl\xe9ans"", u'LU1ishpTW7lZ5FiwuA']","[u'Quebec', u'dSpA1ldTUb7syPFr']",http://www.flickr.com/photos/monilague/12152137796/
12226037284,"[u'washington', u'dc', u'national', u'mall', u'child', u'boy', u'fun', u'monument', u'nikon', u'd5000']","[38.889529, -77.029727]",12/28/13 14:19,1391611500,127,"[u'Washington', u'aKGrC25TV7vTJcir']","[u'District of Columbia', u'r7KcVlZQUL8J2lfjCQ']","[u'District of Columbia', u'.9.rXhhTUb5eYUuK']",http://farm6.staticflickr.com/5472/12226037284_f84ed42a61_o.jpg
12257397635,"[u'Aquaria', u'Aquariums', u'California', u'Killer Whales', u'North America', u'Orcas', u'San Diego', u'Sea World San Diego', u'Shamu Stadium', u""Shamu's Christmas"", u'Shows', u'Stadia', u'Stadiums', u'Theme Parks', u'US 2013-2014', u'United States', u'Water']","[32.764474, -117.228814]",12/22/13 19:03,1391290418,42,"[u'San Diego', u'SfIakxdTVrLBCLcq']","[u'San Diego', u'jomuPC9QUL_Ei9HSMA']","[u'California', u'NsbUWfBTUb4mbyVu']",http://farm6.staticflickr.com/5490/12257397635_ebab600d4d_o.jpg
12257417875,"[u'Aquaria', u'Aquariums', u'California', u'Killer Whales', u'North America', u'Orcas', u'San Diego', u'Sea World San Diego', u'Shamu Stadium', u""Shamu's Christmas"", u'Shows', u'Stadia', u'Stadiums', u'Theme Parks', u'US 2013-2014', u'United States', u'Water']","[32.764474, -117.228814]",12/22/13 19:03,1391290497,43,"[u'San Diego', u'SfIakxdTVrLBCLcq']","[u'San Diego', u'jomuPC9QUL_Ei9HSMA']","[u'California', u'NsbUWfBTUb4mbyVu']",http://farm4.staticflickr.com/3702/12257417875_d807bc41bb_o.jpg
12257497105,"[u'Aquaria', u'Aquariums', u'California', u'Killer Whales', u'North America', u'Orcas', u'San Diego', u'Sea World San Diego', u'Shamu Stadium', u""Shamu's Christmas"", u'Shows', u'Stadia', u'Stadiums', u'Theme Parks', u'US 2013-2014', u'United States', u'Water']","[32.764474, -117.228814]",12/22/13 19:05,1391290820,47,"[u'San Diego', u'SfIakxdTVrLBCLcq']","[u'San Diego', u'jomuPC9QUL_Ei9HSMA']","[u'California', u'NsbUWfBTUb4mbyVu']",http://farm8.staticflickr.com/7366/12257497105_07e2601b8b_o.jpg
